"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes"
"1","tt0022958","movie","grand-hotel","grand-hotel",0,1932,"\N",112,"Drama,Romance",7.4,18773
"2","tt0025316","movie","it-happened-one-night","it-happened-one-night",0,1934,"\N",105,"Comedy,Romance",8.1,100755
"3","tt0031725","movie","ninotchka","ninotchka",0,1939,"\N",110,"Comedy,Romance",7.9,20622
"4","tt0044907","movie","les-miserables","les-miserables",0,1952,"\N",105,"Adventure,Drama,History",6.8,1043
"5","tt0061418","movie","bonnie-and-clyde","bonnie-and-clyde",0,1967,"\N",111,"Action,Biography,Crime",7.8,109805
"6","tt0071571","movie","gone-in-60-seconds","gone-in-60-seconds",0,1974,"\N",105,"Action,Crime,Drama",6.4,8927
"7","tt0075314","movie","taxi-driver","taxi-driver",0,1976,"\N",114,"Crime,Drama",8.2,780903
"8","tt0078788","movie","apocalypse-now","apocalypse-now",0,1979,"\N",147,"Drama,Mystery,War",8.4,642214
"9","tt0080745","movie","flash-gordon","flash-gordon",0,1980,"\N",111,"Action,Adventure,Sci-Fi",6.5,54961
"10","tt0082198","movie","conan-the-barbarian","conan-the-barbarian",0,1982,"\N",129,"Action,Adventure,Fantasy",6.9,144978
"11","tt0083658","movie","blade-runner","blade-runner",0,1982,"\N",117,"Action,Drama,Sci-Fi",8.1,738397
"12","tt0084827","movie","tron","tron",0,1982,"\N",96,"Action,Adventure,Sci-Fi",6.8,118590
"13","tt0087182","movie","dune","dune",0,1984,"\N",137,"Action,Adventure,Sci-Fi",6.4,157075
"14","tt0087469","movie","indiana-jones-and-the-temple-of-doom","indiana-jones-and-the-temple-of-doom",0,1984,"\N",118,"Action,Adventure",7.5,472780
"15","tt0088206","movie","supergirl","supergirl",0,1984,"\N",124,"Action,Adventure,Fantasy",4.4,21649
"16","tt0088936","movie","code-of-silence","code-of-silence",0,1985,"\N",101,"Action,Crime,Drama",6.1,7796
"17","tt0088944","movie","commando","commando",0,1985,"\N",90,"Action,Adventure,Thriller",6.7,155836
"18","tt0093565","movie","moonstruck","moonstruck",0,1987,"\N",102,"Comedy,Drama,Romance",7.1,57177
"19","tt0093773","movie","predator","predator",0,1987,"\N",107,"Action,Adventure,Horror",7.8,394624
"20","tt0095016","movie","die-hard","die-hard",0,1988,"\N",132,"Action,Thriller",8.2,847430
"21","tt0096320","movie","twins","twins",0,1988,"\N",107,"Comedy,Crime",6.1,121260
"22","tt0096438","movie","who-framed-roger-rabbit","who-framed-roger-rabbit",0,1988,"\N",104,"Adventure,Animation,Comedy",7.7,194373
"23","tt0096446","movie","willow","willow",0,1988,"\N",126,"Action,Adventure,Drama",7.3,109278
"24","tt0096895","movie","batman","batman",0,1989,"\N",126,"Action,Adventure",7.5,359247
"25","tt0096933","movie","black-rain","black-rain",0,1989,"\N",125,"Action,Crime,Thriller",6.7,53204
"26","tt0097576","movie","indiana-jones-and-the-last-crusade","indiana-jones-and-the-last-crusade",0,1989,"\N",127,"Action,Adventure",8.2,729644
"27","tt0100260","movie","nightbreed","nightbreed",0,1990,"\N",102,"Action,Fantasy,Horror",6.5,22261
"28","tt0100935","movie","wild-at-heart","wild-at-heart",0,1990,"\N",125,"Comedy,Crime,Drama",7.2,90641
"29","tt0101393","movie","backdraft","backdraft",0,1991,"\N",137,"Action,Crime,Drama",6.7,77836
"30","tt0102070","movie","hudson-hawk","hudson-hawk",0,1991,"\N",100,"Action,Adventure,Comedy",5.8,55492
"31","tt0102685","movie","point-break","point-break",0,1991,"\N",122,"Action,Crime,Thriller",7.3,174322
"32","tt0104073","movie","deep-cover","deep-cover",0,1992,"\N",107,"Action,Crime,Thriller",6.9,10969
