"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"133","tt0493464","movie","wanted","wanted","0","2008","\N","110","Action,Crime,Thriller"
"134","tt0499549","movie","avatar","avatar","0","2009","\N","162","Action,Adventure,Fantasy"
"135","tt0780504","movie","drive","drive","0","2011","\N","100","Action,Drama"
"136","tt0796366","movie","star-trek","star-trek","0","2009","\N","127","Action,Adventure,Sci-Fi"
"137","tt0800320","movie","clash-of-the-titans","clash-of-the-titans","0","2010","\N","106","Action,Adventure,Fantasy"
"138","tt0811080","movie","speed-racer","speed-racer","0","2008","\N","135","Action,Adventure,Comedy"
"139","tt0822847","movie","priest","priest","0","2011","\N","87","Action,Adventure,Fantasy"
"140","tt0831387","movie","godzilla","godzilla","0","2014","\N","123","Action,Adventure,Sci-Fi"
"141","tt0875034","movie","nine","nine","0","2009","\N","118","Drama,Musical,Romance"
"142","tt0942385","movie","tropic-thunder","tropic-thunder","0","2008","\N","107","Action,Comedy,War"
"143","tt0977855","movie","fair-game","fair-game","0","2010","\N","108","Biography,Drama,Thriller"
"144","tt0988045","movie","sherlock-holmes","sherlock-holmes","0","2009","\N","128","Action,Adventure,Mystery"
"145","tt0993842","movie","hanna","hanna","0","2011","\N","111","Action,Adventure,Drama"
"146","tt1010048","movie","slumdog-millionaire","slumdog-millionaire","0","2008","\N","120","Drama,Romance"
"147","tt1032755","movie","rocknrolla","rocknrolla","0","2008","\N","114","Action,Crime,Thriller"
"148","tt1034032","movie","gamer","gamer","0","2009","\N","95","Action,Sci-Fi,Thriller"
"149","tt1034303","movie","defiance","defiance","0","2008","\N","137","Action,Drama,History"
"150","tt1038686","movie","legion","legion","0","2010","\N","100","Action,Fantasy,Horror"
"151","tt1045658","movie","silver-linings-playbook","silver-linings-playbook","0","2012","\N","122","Comedy,Drama,Romance"
"152","tt1045772","movie","i-love-you-phillip-morris","i-love-you-phillip-morris","0","2009","\N","102","Biography,Comedy,Crime"
"153","tt1059786","movie","eagle-eye","eagle-eye","0","2008","\N","118","Action,Mystery,Thriller"
"154","tt1065073","movie","boyhood","boyhood","0","2014","\N","165","Drama"
"155","tt1100089","movie","foxcatcher","foxcatcher","0","2014","\N","134","Biography,Drama,History"
