"","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","directors","writers","DirAvgScore","DirAvgVotes","WriteAvgScore","WriteAvgVotes","isDrama","isSport","isRomance","isComedy","isAdventure","isHistory","isAction","isBiography","isCrime","isMystery","isWar","isSci-Fi","isFantasy","isThriller","isHorror","isAnimation","isMusic","isFamily","isMusical","isDocumentary","isNews","isWestern"
"1843","tt0098437","movie","the-winter-war","talvisota",0,1989,"\N",199,"Drama,History,War",7.7,8097,"nm0661502","nm0661502,nm0878408",7.7,8097,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1844","tt0098439","movie","tango-&-cash","tango-&-cash",0,1989,"\N",104,"Action,Comedy,Crime",6.4,102943,"nm0464846,nm0536299","nm0271098",6.5,21002,5.86666666666667,51216.6666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1845","tt0098453","movie","teen-witch","teen-witch",0,1989,"\N",93,"Comedy,Fantasy,Romance",6.1,9003,"nm0907697","nm0579683,nm0956796",6.1,9003,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1846","tt0098471","movie","three-fugitives","three-fugitives",0,1989,"\N",96,"Action,Comedy",6.2,11566,"nm0891554","nm0891554",7.33333333333333,51925.6666666667,7.33333333333333,51925.6666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1847","tt0098519","movie","troop-beverly-hills","troop-beverly-hills",0,1989,"\N",105,"Adventure,Comedy",5.8,10127,"nm0437596","nm0652398,nm0635873,nm0643315",7.15,51426,5.7,17860,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1848","tt0098532","movie","the-match-factory-girl","tulitikkutehtaan-tyttã¶",0,1990,"\N",69,"Comedy,Drama",7.6,9697,"nm0442454","nm0442454",7.36666666666667,18825.6666666667,7.36666666666667,18825.6666666667,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1849","tt0098536","movie","turner-&-hooch","turner-&-hooch",0,1989,"\N",97,"Comedy,Crime,Drama",6.2,69347,"nm0006854","nm0795461,nm0088793,nm0677943,nm0143596,nm0258390",6.53333333333333,69817,5.625,127622.75,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1850","tt0098546","movie","uhf","uhf",0,1989,"\N",97,"Comedy,Sci-Fi",7,27820,"nm0505409","nm0946148,nm0505409,nm1411461",7,27820,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1851","tt0098554","movie","uncle-buck","uncle-buck",0,1989,"\N",100,"Comedy",7.1,92779,"nm0000455","nm0000455",7.275,164681.75,7.275,164681.75,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"1852","tt0098575","movie","valmont","valmont",0,1989,"\N",137,"Drama,Romance",7,13350,"nm0001232","nm0480166,nm0140643,nm0001232",7.975,372417.75,7.975,372417.75,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
