"","nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"2331545","nm1147588","Faruk Aksoy","1964","\N","producer,director,writer","tt1193516,tt1783232,tt0313802,tt9308170"
"2341000","nm1148550","Ava DuVernay","1972","\N","writer,producer,miscellaneous","tt4419214,tt1211890,tt1020072,tt7137906"
"2346036","nm1149074","Gary Hawkins","\N","\N","director,writer,actor","tt2382396,tt7553150,tt0280079,tt0379966"
"2346047","nm1149075","Alexi Hawley","\N","\N","producer,writer,miscellaneous","tt0204313,tt7587890,tt1219024,tt2071645"
"2348506","nm1149334","Prasoon Joshi","\N","\N","music_department,soundtrack,writer","tt2356180,tt0405508,tt0439662,tt0986264"
"2354711","nm11499709","Imran Manzoor","1996","\N","miscellaneous,production_designer,actor","tt0181689,tt0338337,tt1305797,tt1464540"
"2356342","nm1150145","Jamie Moss","\N","\N","actor,writer,producer","tt4143092,tt0421073,tt1219827"
"2361394","nm1150656","Remo D'Souza","\N","\N","miscellaneous,actor,director","tt7431594,tt1305797,tt3735246,tt6988116"
"2362230","nm1150736","Gary Stephen Ross","1948","\N","writer","tt0285861"
"2364407","nm1150959","Vipul Amrutlal Shah","\N","\N","producer,director,writer","tt2556308,tt0795434,tt14603402,tt0306434"
"2368943","nm1151425","Alan Trezza","\N","\N","writer,producer,director","tt2517016,tt1262121,tt3339674,tt8058874"
"2370612","nm11515938","Greg Tocchini","\N","\N","writer","tt1552211"
"2376262","nm1152178","Robert Morgan","1974","\N","director,writer,producer","tt0421245,tt2006697,tt0371596,tt2926810"
"2379078","nm1152459","Phillip Schneider","\N","\N","writer","tt0283026,tt5605316"
"2379084","nm1152460","Hideo Yamamoto","1968","\N","writer","tt0314021,tt14404280,tt0226228,tt0296042"
"2380085","nm1152581","David Collard","\N","\N","actor,miscellaneous,writer","tt0212687,tt0313443,tt0405469,tt0417433"
"2394709","nm1154102","Francesco Piccolo","1964","\N","writer","tt7736478,tt1467273,tt1456472,tt2465578"
"2395505","nm1154184","Jon Harris","1967","\N","editor,editorial_department,director","tt2763304,tt3661210,tt0435625,tt1542344"
"2401908","nm1154836","Enrico Casarosa","1971","\N","animation_department,art_department,miscellaneous","tt0358082,tt3606756,tt12801262,tt1049413"
"2402398","nm1154886","Galen T. Chu","\N","\N","animation_department,director,miscellaneous","tt3416828,tt0268380,tt5814534,tt1080016"
"2408445","nm1155510","Jeffrey Jurgensen","\N","\N","writer","tt0358349,tt0313911"
"2410140","nm1155681","Jong-yong Lee","\N","\N","director,writer,actor","tt1565058,tt0310775,tt0260991,tt0923651"
"2412876","nm1155957","Anna Muylaert","1964","\N","writer,script_department,director","tt5452964,tt3742378,tt1134860,tt0314009"
"2416161","nm1156290","Jaideep Sahni","\N","\N","music_department,soundtrack,writer","tt8108198,tt1182937,tt0871510,tt0296574"
"2422979","nm1156984","Kevin Hageman","1974","\N","writer,producer,actor","tt1490017,tt1734135,tt0132347,tt3387520"
"2428241","nm1157527","Andrew Jay Cohen","\N","\N","writer,producer,director","tt4481514,tt4438848,tt2823054,tt2004420"
"2428412","nm1157545","Xeth Feinberg","1960","\N","animation_department,director,sound_department","tt0358082,tt2845342,tt0268380,tt2380303"
"2429023","nm1157609","Alberto Marini","1972","\N","miscellaneous,writer,producer","tt1038988,tt1437358,tt10230502,tt3169770"
"2435207","nm1158243","Michael Berry","1947","2008","writer","tt0100604,tt0181316"
"2438211","nm1158544","Jared Bush","1974","\N","writer,miscellaneous,producer","tt3521164,tt2953050,tt2948356,tt0362404"
"2442404","nm1158962","Patrik Forsberg","\N","\N","producer,director,writer","tt1333125,tt1942911,tt1856047,tt13078824"
"2449212","nm1159647","Punit Malhotra","\N","\N","director,assistant_director,writer","tt0347304,tt0248126,tt1667838,tt7255568"
"2450453","nm1159782","Seiji Mizushima","\N","\N","director,art_department,art_director","tt1726286,tt0284145,tt0421357,tt0485323"
"2450891","nm1159827","Sergej Moya","1988","\N","actor,writer,director","tt0470832,tt1320273,tt1700257,tt2080323"
"2455725","nm1160330","Fumihiko Shimo","\N","\N","writer,miscellaneous","tt0328739,tt1929675,tt8922630,tt0095327"
"2456145","nm1160374","Tarun Mansukhani","\N","\N","actor,assistant_director,director","tt0213890,tt1185420,tt0347304,tt0172684"
"2456588","nm1160420","Zac Stanford","\N","\N","editorial_department,writer,director","tt0888693,tt10307856,tt0313398,tt0406650"
"2457328","nm1160495","Kevin Tancharoen","1984","\N","director,producer,writer","tt2364582,tt1922612,tt1016075,tt1672087"
"2461921","nm1160962","Henry Joost","\N","\N","writer,producer,director","tt1778304,tt1152278,tt3531824,tt7550000"
"2467371","nm1161528","Jeff Buhler","\N","\N","writer,producer,actor","tt6903284,tt0805570,tt4504044,tt0837563"
"2471167","nm1161912","Yeong-ha Kim","\N","\N","writer","tt0315515,tt0422805,tt0428870"
"2472231","nm1162018","Vahidéa Mohammadi","\N","\N","writer,costume_designer,miscellaneous","tt0385277,tt2149053,tt1667121,tt0405149"
"2472240","nm1162019","Anatoli Nikiforov","\N","\N","writer","tt0318034,tt15315996,tt7253050"
