"","nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"5","nm0000005","Ingmar Bergman","1918","2007","writer,director,actor","tt0083922,tt0050986,tt0069467,tt0060827"
"8","nm0000008","Marlon Brando","1924","2004","actor,soundtrack,director","tt0068646,tt0070849,tt0078788,tt0047296"
"19","nm0000019","Federico Fellini","1920","1993","writer,director,assistant_director","tt0050783,tt0071129,tt0047528,tt0056801"
"33","nm0000033","Alfred Hitchcock","1899","1980","director,producer,actor","tt0052357,tt0053125,tt0054215,tt0056869"
"37","nm0000037","Gene Kelly","1912","1996","soundtrack,actor,director","tt0043278,tt0041716,tt0045152,tt0053946"
"40","nm0000040","Stanley Kubrick","1928","1999","writer,director,producer","tt0072684,tt0066921,tt0062622,tt0120663"
"41","nm0000041","Akira Kurosawa","1910","1998","writer,director,assistant_director","tt0051808,tt0089881,tt0047478,tt0080979"
"45","nm0000045","Bruce Lee","1940","1973","actor,writer,miscellaneous","tt0068935,tt0070034,tt0067824,tt0068767"
"76","nm0000076","François Truffaut","1932","1984","writer,director,producer","tt0055032,tt0070460,tt0075860,tt0053198"
"78","nm0000078","John Wayne","1907","1979","actor,producer,soundtrack","tt0056217,tt0065126,tt0053580,tt0031971"
"80","nm0000080","Orson Welles","1915","1985","actor,director,writer","tt0040525,tt0052311,tt0038991,tt0033467"
"86","nm0000086","Louis de Funès","1914","1983","actor,writer,soundtrack","tt0064425,tt0074103,tt0069747,tt0079200"
"91","nm0000091","Gérard Pirès","1942","\N","director,writer,actor","tt0282552,tt0152930,tt0064297,tt0374627"
"92","nm0000092","John Cleese","1939","\N","actor,writer,producer","tt0063929,tt0095159,tt0085959,tt0071853"
"95","nm0000095","Woody Allen","1935","\N","writer,director,actor","tt0091167,tt0097123,tt0079522,tt0075686"
"100","nm0000100","Rowan Atkinson","1955","\N","actor,writer,producer","tt1634122,tt0274166,tt0110357,tt0118689"
"101","nm0000101","Dan Aykroyd","1952","\N","writer,actor,producer","tt0080455,tt0087332,tt0118747,tt0097428"
"106","nm0000106","Drew Barrymore","1975","\N","producer,actress,soundtrack","tt0120631,tt0343660,tt0151738,tt0160127"
"108","nm0000108","Luc Besson","1959","\N","writer,producer,director","tt2872732,tt0100263,tt0110413,tt0119116"
"110","nm0000110","Kenneth Branagh","1960","\N","actor,producer,director","tt0116477,tt0097499,tt0107616,tt3402236"
"114","nm0000114","Steve Buscemi","1957","\N","actor,producer,director","tt0116282,tt4686844,tt0105236,tt0162346"
"116","nm0000116","James Cameron","1954","\N","writer,producer,director","tt0499549,tt0090605,tt0103064,tt0120338"
"118","nm0000118","John Carpenter","1948","\N","soundtrack,writer,composer","tt0077651,tt0080749,tt0096256,tt0082340"
"120","nm0000120","Jim Carrey","1962","\N","actor,writer,producer","tt0315327,tt0109040,tt0338013,tt0110475"
"122","nm0000122","Charles Chaplin","1889","1977","writer,soundtrack,actor","tt0018773,tt0027977,tt0032553,tt0044837"
"123","nm0000123","George Clooney","1961","\N","actor,producer,director","tt0433383,tt1193138,tt1124035,tt0465538"
"126","nm0000126","Kevin Costner","1955","\N","actor,producer,soundtrack","tt0102798,tt0099348,tt0103855,tt0119925"
"127","nm0000127","Wes Craven","1939","2015","writer,producer,director","tt0087800,tt0105121,tt0117571,tt0111686"
"128","nm0000128","Russell Crowe","1964","\N","actor,soundtrack,producer","tt0172495,tt0268978,tt1707386,tt0119488"
"129","nm0000129","Tom Cruise","1962","\N","actor,producer,soundtrack","tt0325710,tt0092099,tt0116695,tt0120755"
"131","nm0000131","John Cusack","1966","\N","actor,producer,writer","tt0098258,tt0450385,tt0146882,tt0119229"
"134","nm0000134","Robert De Niro","1943","\N","actor,producer,soundtrack","tt0075314,tt0081398,tt0101540,tt0077416"
"136","nm0000136","Johnny Depp","1963","\N","actor,producer,soundtrack","tt0408236,tt0367594,tt0325980,tt0449088"
"141","nm0000141","David Duchovny","1960","\N","actor,producer,director","tt0443701,tt0106179,tt0904208,tt0120902"
"142","nm0000142","Clint Eastwood","1930","\N","actor,producer,director","tt1205489,tt0105695,tt0405159,tt0112579"
"144","nm0000144","Cary Elwes","1962","\N","actor,producer,director","tt0387564,tt0107977,tt0119468,tt0093779"
"146","nm0000146","Ralph Fiennes","1962","\N","actor,director,producer","tt0387131,tt2278388,tt1201607,tt0108052"
"149","nm0000149","Jodie Foster","1962","\N","actress,director,producer","tt0118884,tt0476964,tt0102926,tt0075314"
"154","nm0000154","Mel Gibson","1956","\N","actor,producer,director","tt0104714,tt0117438,tt0112573,tt0118883"
"158","nm0000158","Tom Hanks","1956","\N","producer,actor,soundtrack","tt0162222,tt0094737,tt0109830,tt0112384"
"160","nm0000160","Ethan Hawke","1970","\N","actor,writer,producer","tt2209418,tt0381681,tt0139654,tt0112471"
"163","nm0000163","Dustin Hoffman","1937","\N","actor,producer,soundtrack","tt0095953,tt0061722,tt0064665,tt0084805"
"165","nm0000165","Ron Howard","1954","\N","actor,producer,writer","tt0367279,tt0088933,tt0112384,tt0268978"
"166","nm0000166","Helen Hunt","1963","\N","actress,producer,director","tt0103484,tt0162222,tt0119822,tt0117998"
"169","nm0000169","Tommy Lee Jones","1946","\N","actor,director,soundtrack","tt0106977,tt0443272,tt2398231,tt0477348"
"175","nm0000175","Stephen King","1947","\N","writer,producer,actor","tt0111161,tt0083767,tt0324864,tt0091499"
"180","nm0000180","David Lean","1908","1991","editor,director,writer","tt0050212,tt0059113,tt0056172,tt0087892"
"184","nm0000184","George Lucas","1944","\N","writer,producer,director","tt0066434,tt0069704,tt0076759,tt0082971"
"185","nm0000185","Dolph Lundgren","1957","\N","actor,producer,director","tt0089927,tt0105698,tt0113481,tt0093507"
"186","nm0000186","David Lynch","1946","\N","writer,director,producer","tt0098936,tt0166924,tt0105665,tt0460829"
"187","nm0000187","Madonna","1958","\N","soundtrack,composer,music_department","tt0104694,tt0156841,tt0116250,tt0246460"
"188","nm0000188","Steve Martin","1945","\N","writer,actor,soundtrack","tt0383216,tt0079367,tt0102250,tt0093886"
"189","nm0000189","Jenny McCarthy Wahlberg","1972","\N","actress,producer,writer","tt0327643,tt0134084,tt0131857,tt0455967"
"191","nm0000191","Ewan McGregor","1971","\N","actor,writer,producer","tt0117951,tt2763304,tt0203009,tt1322269"
"195","nm0000195","Bill Murray","1950","\N","actor,soundtrack,writer","tt0335266,tt0128445,tt1748122,tt0362270"
"196","nm0000196","Mike Myers","1963","\N","actor,writer,soundtrack","tt0295178,tt0811138,tt0145660,tt0118655"
"197","nm0000197","Jack Nicholson","1937","\N","actor,soundtrack,producer","tt0073486,tt0071315,tt0119822,tt0407887"
"198","nm0000198","Gary Oldman","1958","\N","actor,soundtrack,producer","tt1340800,tt0468569,tt0103874,tt4555426"
"199","nm0000199","Al Pacino","1940","\N","actor,producer,soundtrack","tt0070666,tt0099422,tt0072890,tt0068646"
"200","nm0000200","Bill Paxton","1955","2017","actor,producer,writer","tt0090605,tt0117998,tt0264616,tt0112384"
"204","nm0000204","Natalie Portman","1981","\N","actress,producer,soundtrack","tt0947798,tt0110413,tt0376541,tt0434409"
"206","nm0000206","Keanu Reeves","1964","\N","actor,producer,soundtrack","tt0133093,tt0111257,tt0102685,tt0234215"
"209","nm0000209","Tim Robbins","1958","\N","actor,producer,director","tt0327056,tt0094812,tt0091225,tt0105151"
"217","nm0000217","Martin Scorsese","1942","\N","producer,director,actor","tt0075314,tt0106226,tt0099685,tt0070379"
"219","nm0000219","Steven Seagal","1952","\N","producer,actor,writer","tt0094602,tt0105690,tt0110725,tt0242445"
"226","nm0000226","Will Smith","1968","\N","producer,actor,soundtrack","tt0480249,tt0116629,tt0119654,tt0098800"
"228","nm0000228","Kevin Spacey","1959","\N","actor,producer,soundtrack","tt0169547,tt0119488,tt0114369,tt0114814"
"229","nm0000229","Steven Spielberg","1946","\N","producer,writer,director","tt0083866,tt0082971,tt0108052,tt0120815"
"230","nm0000230","Sylvester Stallone","1946","\N","actor,writer,producer","tt0084602,tt3076658,tt0075148,tt0089927"
"231","nm0000231","Oliver Stone","1946","\N","producer,director,writer","tt0096969,tt0102138,tt0110632,tt0091763"
"233","nm0000233","Quentin Tarantino","1963","\N","writer,actor,producer","tt0110912,tt3460252,tt0105236,tt0116367"
"235","nm0000235","Uma Thurman","1970","\N","actress,soundtrack,producer","tt0118688,tt0110912,tt0378194,tt0266697"
"241","nm0000241","Jean-Claude Van Damme","1960","\N","actor,writer,producer","tt1130988,tt0101764,tt0119013,tt0097659"
"243","nm0000243","Denzel Washington","1954","\N","actor,producer,soundtrack","tt0139654,tt0168786,tt1037705,tt2671706"
"246","nm0000246","Bruce Willis","1955","\N","actor,soundtrack,producer","tt0088571,tt0095016,tt0167404,tt0110912"
"247","nm0000247","John Woo","1946","\N","director,producer,writer","tt0104684,tt0119094,tt0092263,tt0425637"
"251","nm0000251","Timothy Dowling","1973","\N","actor,writer,script_department","tt0181852,tt1596350,tt2120120,tt0430922"
"255","nm0000255","Ben Affleck","1972","\N","producer,actor,writer","tt2267998,tt0119217,tt1024648,tt0840361"
"264","nm0000264","Pedro Almodóvar","1949","\N","writer,director,soundtrack","tt0287467,tt0101026,tt0095675,tt1189073"
"265","nm0000265","Robert Altman","1925","2006","director,producer,writer","tt0073440,tt0108122,tt0280707,tt0105151"
"269","nm0000269","Jean-Jacques Annaud","1943","\N","director,producer,writer","tt0091605,tt2909116,tt0120102,tt0215750"
"277","nm0000277","Richard Attenborough","1923","2014","actor,producer,director","tt0107290,tt0060934,tt0057115,tt0083987"
"316","nm0000316","Mel Brooks","1926","\N","actor,writer,soundtrack","tt0395251,tt0082517,tt0094012,tt0071230"
"318","nm0000318","Tim Burton","1958","\N","producer,miscellaneous,director","tt0121164,tt0099487,tt0408236,tt1142977"
"320","nm0000320","Luis Buñuel","1900","1983","writer,director,actor","tt0068361,tt0061395,tt0075824,tt0056732"
"329","nm0000329","Jackie Chan","1954","\N","producer,actor,stunts","tt0089374,tt0266915,tt0127357,tt0120812"
"332","nm0000332","Don Cheadle","1964","\N","actor,producer,soundtrack","tt1540133,tt0395169,tt0375679,tt0181865"
"335","nm0000335","Glenn Close","1947","\N","actress,producer,soundtrack","tt0094947,tt2015381,tt0093010,tt3750872"
"338","nm0000338","Francis Ford Coppola","1939","\N","producer,director,writer","tt0071562,tt0068646,tt0078788,tt0071360"
"339","nm0000339","Roger Corman","1926","\N","producer,director,actor","tt0099612,tt0112384,tt0102926,tt0091419"
"341","nm0000341","Michael Crichton","1942","2008","writer,producer,director","tt0107290,tt0117998,tt0070909,tt0108757"
"343","nm0000343","David Cronenberg","1943","\N","director,actor,writer","tt0120907,tt0094964,tt0091064,tt0115964"
"345","nm0000345","Billy Crystal","1948","\N","actor,writer,producer","tt0098635,tt0101587,tt0113097,tt0122933"
"352","nm0000352","Vincent D'Onofrio","1959","\N","actor,producer,soundtrack","tt0119654,tt0093058,tt0109707,tt0209958"
"354","nm0000354","Matt Damon","1970","\N","producer,actor,soundtrack","tt0407887,tt0134119,tt0119217,tt3659388"
"361","nm0000361","Brian De Palma","1940","\N","director,writer,producer","tt0280665,tt0080661,tt0086984,tt0094226"
"362","nm0000362","Danny DeVito","1944","\N","actor,producer,director","tt0098621,tt0103776,tt0117008,tt0094142"
"365","nm0000365","Julie Delpy","1969","\N","actress,writer,director","tt0841044,tt0112471,tt0381681,tt0111507"
"367","nm0000367","Gérard Depardieu","1948","\N","actor,producer,soundtrack","tt0120744,tt0103594,tt0099699,tt0099334"
"380","nm0000380","Robert Duvall","1931","\N","actor,producer,soundtrack","tt0068646,tt0316356,tt0118632,tt0078788"
"382","nm0000382","Atom Egoyan","1960","\N","director,writer,producer","tt0273435,tt2326612,tt1352824,tt0120255"
"386","nm0000386","Roland Emmerich","1955","\N","writer,producer,director","tt0120685,tt0319262,tt0116629,tt1628841"
"389","nm0000389","Emilio Estevez","1962","\N","actor,director,producer","tt1441912,tt0100994,tt0308055,tt3294746"
"390","nm0000390","Joe Eszterhas","1944","\N","writer,producer,miscellaneous","tt0108162,tt0114436,tt0103772,tt0118577"
"399","nm0000399","David Fincher","1962","\N","producer,director,actor","tt0443706,tt2267998,tt1285016,tt0114369"
"402","nm0000402","Carrie Fisher","1956","2016","actress,miscellaneous,soundtrack","tt0076759,tt2527336,tt0086190,tt0080684"
"406","nm0000406","John Ford","1894","1973","director,producer,writer","tt0045061,tt0056217,tt0031971,tt0032551"
"408","nm0000408","Jonathan Frakes","1952","\N","actor,director,producer","tt0111280,tt0253754,tt0117731,tt0120844"
"410","nm0000410","Stephen Fry","1957","\N","actor,writer,producer","tt0280707,tt0371724,tt0434409,tt0120514"
"412","nm0000412","Andy Garcia","1956","\N","actor,producer,soundtrack","tt0343996,tt0099674,tt0349903,tt0240772"
"416","nm0000416","Terry Gilliam","1940","\N","writer,actor,animation_department","tt0071853,tt0081633,tt0088846,tt0085959"
"419","nm0000419","Jean-Luc Godard","1930","\N","director,writer,editor","tt0053472,tt0056663,tt0057345,tt0059592"
"425","nm0000425","Peter Greenaway","1942","\N","director,writer,editor","tt0446750,tt0092929,tt0097108,tt1702429"
"431","nm0000431","Taylor Hackford","1944","\N","producer,director,writer","tt0106469,tt0084434,tt0109642,tt0350258"
"436","nm0000436","Curtis Hanson","1945","2016","director,producer,writer","tt0104389,tt0119488,tt0388125,tt0298203"
"438","nm0000438","Ed Harris","1950","\N","actor,producer,director","tt0120382,tt0800308,tt0183659,tt0112384"
"450","nm0000450","Philip Seymour Hoffman","1967","2014","actor,producer,soundtrack","tt0379725,tt1560747,tt0292963,tt0472062"
"454","nm0000454","Dennis Hopper","1936","2010","actor,director,writer","tt0111257,tt0064276,tt0114898,tt0090756"
"455","nm0000455","John Hughes","1950","2009","writer,producer,director","tt0098554,tt0091042,tt0090305,tt0093748"
"464","nm0000464","Jim Jarmusch","1953","\N","director,writer,actor","tt0412019,tt0088184,tt1714915,tt5247022"
"466","nm0000466","Jean-Pierre Jeunet","1953","\N","director,writer,producer","tt0344510,tt0101700,tt0211915,tt1149361"
"473","nm0000473","Diane Keaton","1946","\N","actress,producer,soundtrack","tt0337741,tt0075686,tt0082979,tt0073312"
"483","nm0000483","Christopher Lambert","1957","\N","actor,producer,writer","tt0091203,tt0090095,tt0113855,tt0120604"
"484","nm0000484","John Landis","1950","\N","producer,director,actor","tt0086491,tt0080455,tt0067716,tt0118747"
"485","nm0000485","Fritz Lang","1890","1976","director,writer,producer","tt0019415,tt0057345,tt0027652,tt0022100"
"487","nm0000487","Ang Lee","1954","\N","director,producer,writer","tt0190332,tt0808357,tt0454876,tt0114388"
"490","nm0000490","Spike Lee","1957","\N","director,producer,writer","tt0091939,tt0097216,tt0104797,tt9777644"
"491","nm0000491","John Leguizamo","1964","\N","actor,writer,producer","tt0203009,tt0120177,tt0117509,tt0119887"
"492","nm0000492","Jennifer Jason Leigh","1962","\N","actress,producer,soundtrack","tt0105414,tt0108122,tt3460252,tt0109642"
"500","nm0000500","Richard Linklater","1960","\N","producer,director,writer","tt0405296,tt0243017,tt1065073,tt2209418"
"513","nm0000513","William H. Macy","1950","\N","actor,writer,soundtrack","tt1586680,tt0118749,tt0175880,tt0116282"
"517","nm0000517","Terrence Malick","1943","\N","producer,writer,director","tt0069762,tt0077405,tt0478304,tt0120863"
"519","nm0000519","David Mamet","1947","\N","writer,producer,director","tt0093223,tt0120885,tt0104348,tt0120202"
"520","nm0000520","Michael Mann","1943","\N","producer,writer,director","tt0369339,tt0104691,tt0091474,tt0140352"
"524","nm0000524","Mary Stuart Masterson","1966","\N","actress,producer,director","tt0101921,tt0073747,tt0106387,tt0094006"
"532","nm0000532","Malcolm McDowell","1943","\N","actor,producer,soundtrack","tt0080025,tt0373883,tt0111280,tt0066921"
"540","nm0000540","Russ Meyer","1922","2004","director,cinematographer,producer","tt0054859,tt0059170,tt0075376,tt0078846"
"551","nm0000551","Dermot Mulroney","1963","\N","actor,soundtrack,music_department","tt1322269,tt0096487,tt0119738,tt0356680"
"552","nm0000552","Eddie Murphy","1961","\N","actor,writer,producer","tt0094898,tt0117218,tt0126029,tt0443489"
"559","nm0000559","Leonard Nimoy","1931","2015","actor,director,producer","tt0102975,tt0092007,tt0796366,tt0088170"
"567","nm0000567","George Orwell","1903","1950","writer","tt0087803,tt0048918,tt0498637,tt2467700"
"568","nm0000568","Frank Oz","1944","\N","actor,miscellaneous,soundtrack","tt0074028,tt0087755,tt0063951,tt0121765"
"570","nm0000570","Alan Parker","1944","2020","director,writer,soundtrack","tt0077928,tt0095647,tt0116250,tt0101605"
"576","nm0000576","Sean Penn","1960","\N","actor,director,producer","tt0327056,tt0315733,tt0112818,tt1013753"
"578","nm0000578","Anthony Perkins","1932","1992","actor,soundtrack,director","tt0057427,tt0086154,tt0091799,tt0054215"
"581","nm0000581","Joseph L. Mankiewicz","1909","1993","writer,producer,director","tt0056937,tt0041587,tt0042192,tt0069281"
"583","nm0000583","Wolfgang Petersen","1941","\N","director,writer,producer","tt0082096,tt0114069,tt0118571,tt0089092"
"590","nm0000590","Edgar Allan Poe","1809","1849","writer,soundtrack,miscellaneous","tt8646426,tt1663656,tt1772264,tt0379889"
"591","nm0000591","Roman Polanski","1933","\N","director,actor,writer","tt1139328,tt0074811,tt1692486,tt0071315"
"600","nm0000600","Sam Raimi","1959","\N","producer,writer,director","tt0099365,tt0083907,tt0145487,tt0106308"
"601","nm0000601","Harold Ramis","1944","2014","writer,actor,producer","tt0083131,tt0087332,tt0107048,tt0478311"
"602","nm0000602","Robert Redford","1936","\N","producer,actor,director","tt0081283,tt0087781,tt0064115,tt0074119"
"604","nm0000604","John C. Reilly","1965","\N","actor,writer,producer","tt0841046,tt2015381,tt0118749,tt0299658"
"607","nm0000607","Paul Reubens","1952","\N","actor,writer,soundtrack","tt0090500,tt0251640,tt0089791,tt0094744"
"614","nm0000614","Alan Rickman","1946","2016","actor,soundtrack,writer","tt0095016,tt1201607,tt0102798,tt0177789"
"619","nm0000619","Tim Roth","1961","\N","actor,producer,soundtrack","tt3460252,tt0133152,tt0110912,tt0114287"
"620","nm0000620","Mickey Rourke","1952","\N","actor,writer,producer","tt1125849,tt0401792,tt1228705,tt0092563"
"621","nm0000621","Kurt Russell","1951","\N","actor,producer,writer","tt0116253,tt3896198,tt3460252,tt0116225"
"625","nm0000625","Fred Savage","1976","\N","actor,director,producer","tt0094582,tt0090768,tt0093779,tt0295178"
"626","nm0000626","John Sayles","1950","\N","writer,actor,director","tt0116905,tt0119657,tt0095082,tt0087004"
"630","nm0000630","Liev Schreiber","1967","\N","actor,producer,miscellaneous","tt0458525,tt1895587,tt0368008,tt0404030"
"631","nm0000631","Ridley Scott","1937","\N","producer,director,production_designer","tt0172495,tt3659388,tt0083658,tt0103074"
"632","nm0000632","Jerry Seinfeld","1954","\N","writer,producer,actor","tt12117854,tt0098904,tt0389790,tt2314952"
"634","nm0000634","Peter Sellers","1925","1980","actor,writer,soundtrack","tt0072081,tt0075066,tt0078841,tt0057012"
"635","nm0000635","Yahoo Serious","1953","\N","director,actor,writer","tt6893696,tt0156807,tt0107930,tt0096486"
"636","nm0000636","William Shakespeare","1564","1616","writer,soundtrack,miscellaneous","tt14297038,tt3894536,tt8632012,tt5377528"
"638","nm0000638","William Shatner","1931","\N","actor,producer,writer","tt0079945,tt0088170,tt0084726,tt0098382"
"641","nm0000641","Gary Sinise","1955","\N","actor,producer,director","tt0117438,tt0105046,tt0109830,tt0112384"
"647","nm0000647","Alan Smithee","\N","\N","director,actor,writer","tt2076794,tt0118577,tt0116514,tt0086491"
"653","nm0000653","Brent Spiner","1949","\N","actor,soundtrack,director","tt0117731,tt1628841,tt0111280,tt0253754"
"659","nm0000659","Barbra Streisand","1942","\N","soundtrack,producer,actress","tt0086619,tt0070903,tt0117057,tt0062994"
"668","nm0000668","Emma Thompson","1959","\N","actress,writer,producer","tt0314331,tt0107943,tt2140373,tt0114388"
"671","nm0000671","Billy Bob Thornton","1955","\N","actor,writer,soundtrack","tt0243133,tt0117666,tt0120591,tt0120324"
"681","nm0000681","Vince Vaughn","1970","\N","producer,actor,writer","tt5657856,tt1078940,tt0452594,tt0396269"
"682","nm0000682","Paul Verhoeven","1938","\N","director,producer,writer","tt0093870,tt0164052,tt0389557,tt3716530"
"683","nm0000683","Gore Vidal","1925","2012","writer,actor","tt0080491,tt0111732,tt0041061,tt0119177"
"691","nm0000691","John Waters","1946","\N","actor,writer,director","tt0387575,tt0111127,tt0095270,tt0126604"
"694","nm0000694","Wim Wenders","1945","\N","director,producer,writer","tt0087884,tt0093191,tt0107209,tt0101458"
"697","nm0000697","Billy Wilder","1906","2002","writer,director,producer","tt0043014,tt0047437,tt0053291,tt0053604"
"698","nm0000698","Gene Wilder","1933","2016","actor,soundtrack,writer","tt0067992,tt0072431,tt0063462,tt0098282"
"705","nm0000705","Robin Wright","1966","\N","actress,producer,director","tt0093779,tt0109830,tt0217869,tt0442933"
"709","nm0000709","Robert Zemeckis","1951","\N","producer,writer,director","tt0088763,tt0118884,tt1907668,tt0109830"
"713","nm0000713","Joel Oliansky","1935","2002","writer,director,actor","tt0081900,tt0069599,tt0205655,tt0065278"
"720","nm0000720","Jim Abrahams","1944","\N","writer,producer,director","tt0080339,tt0083466,tt0088286,tt0102059"
"727","nm0000727","Percy Adlon","1935","\N","director,writer,producer","tt0108636,tt0090377,tt0095801,tt0082225"
"729","nm0000729","Casey Affleck","1975","\N","actor,producer,writer","tt0443680,tt4034228,tt0452623,tt1206543"
"735","nm0000735","Brian Aldiss","1925","2017","writer,actor","tt1590816,tt0432260,tt0099612,tt0212720"
"736","nm0000736","Robert Aldrich","1918","1983","director,assistant_director,producer","tt0061578,tt0056687,tt0070030,tt0071771"
"740","nm0000740","Irwin Allen","1916","1991","writer,producer,director","tt0057798,tt0060036,tt0044009,tt0072308"
"750","nm0000750","Jon Amiel","1948","\N","director,producer,script_department","tt0137494,tt0298814,tt0100822,tt0112722"
"755","nm0000755","Lindsay Anderson","1923","1994","director,actor,writer","tt0057578,tt0083694,tt0070464,tt0063850"
"759","nm0000759","Paul Thomas Anderson","1970","\N","director,writer,producer","tt1791528,tt0272338,tt0118749,tt0469494"
"766","nm0000766","Theodoros Angelopoulos","1935","2012","director,writer,producer","tt0114863,tt0081148,tt0096288,tt0156794"
"770","nm0000770","David Anspaugh","1946","\N","producer,director","tt0108002,tt4196848,tt0081873,tt0091217"
"774","nm0000774","Michelangelo Antonioni","1912","2007","writer,director,editor","tt0053619,tt0073580,tt0047821,tt0060176"
"776","nm0000776","Michael Apted","1941","2021","director,producer,miscellaneous","tt1734493,tt0384766,tt0157583,tt0143145"
"777","nm0000777","Gregg Araki","1959","\N","writer,director,producer","tt1523483,tt0370986,tt0094134,tt2238050"
"778","nm0000778","Alfonso Arau","1932","\N","actor,director,writer","tt0092086,tt0103994,tt0114887,tt2380307"
"780","nm0000780","Denys Arcand","1941","\N","writer,director,actor","tt0097635,tt0090985,tt7231342,tt0338135"
"783","nm0000783","Dario Argento","1940","\N","writer,director,producer","tt0073582,tt0087909,tt0065143,tt0093677"
"786","nm0000786","George Armitage","1942","\N","producer,writer,director","tt0100143,tt0119229,tt0075393,tt0065760"
"788","nm0000788","Gillian Armstrong","1950","\N","director,producer,writer","tt0117206,tt0110367,tt0079596,tt0245046"
"797","nm0000797","Hal Ashby","1929","1988","director,editorial_department,actor","tt0078841,tt0077362,tt0061811,tt0067185"
"801","nm0000801","Olivier Assayas","1955","\N","writer,director,assistant_director","tt4714782,tt0401711,tt2452254,tt0216689"
"806","nm0000806","Bille August","1948","\N","director,writer,cinematographer","tt0107151,tt0093713,tt0119683,tt0257215"
"807","nm0000807","Jane Austen","1775","1817","writer","tt9214832,tt0114388,tt0116191,tt0414387"
"808","nm0000808","Paul Auster","1947","\N","writer,director,producer","tt0112541,tt0125879,tt0114478,tt0479074"
"812","nm0000812","Roger Avary","1965","\N","writer,producer,director","tt0110265,tt0110912,tt7248248,tt0292644"
"814","nm0000814","John G. Avildsen","1935","2017","director,editor,cinematographer","tt0100507,tt0097647,tt0087538,tt0075148"
"816","nm0000816","Jon Avnet","1949","\N","producer,director,writer","tt0086200,tt0101921,tt0947798,tt0118055"
"824","nm0000824","John Badham","1939","\N","director,producer,actor","tt0091949,tt0094025,tt0076666,tt0086567"
"829","nm0000829","Stuart Baird","1947","\N","editor,editorial_department,director","tt0381061,tt0253754,tt1074638,tt0078346"
"834","nm0000835","Ralph Bakshi","1938","\N","animation_department,director,producer","tt0077869,tt0085542,tt0068612,tt0076929"
"836","nm0000837","Bob Balaban","1945","\N","actor,director,producer","tt0310281,tt0280707,tt0086837,tt0075860"
"849","nm0000850","Clive Barker","1952","\N","writer,producer,actor","tt0805570,tt0103919,tt0093177,tt0100260"
"852","nm0000853","Bruno Barreto","1955","\N","director,producer,writer","tt0077452,tt2217458,tt0179170,tt0119815"
"859","nm0000860","Paul Bartel","1938","2000","actor,director,writer","tt0072856,tt0083869,tt0116225,tt0098261"
"865","nm0000866","Saul Bass","1920","1996","miscellaneous,art_department,director","tt0063804,tt0086162,tt0070531,tt0053125"
"866","nm0000867","Jason Bateman","1969","\N","actor,producer,director","tt2170299,tt2948356,tt0367279,tt0467406"
"871","nm0000872","Patrick Bauchau","1938","\N","actor,writer,producer","tt0258000,tt0090264,tt0319969,tt0115320"
"874","nm0000875","L. Frank Baum","1856","1919","writer,producer,miscellaneous","tt0089908,tt0032138,tt0004207,tt0000679"
"875","nm0000876","Noah Baumbach","1969","\N","writer,director,producer","tt0367089,tt7653254,tt2347569,tt2872462"
"876","nm0000877","Lamberto Bava","1944","\N","director,assistant_director,producer","tt0101493,tt0090930,tt0089013,tt0088100"
"877","nm0000878","Mario Bava","1914","1980","cinematographer,special_effects,director","tt0055022,tt0058567,tt0068863,tt0067656"
"880","nm0000881","Michael Bay","1965","\N","producer,director,actor","tt0120591,tt0418279,tt1055369,tt2109248"
"885","nm0000886","Warren Beatty","1937","\N","actor,soundtrack,producer","tt0082979,tt0077663,tt0061418,tt0118798"
"886","nm0000887","Harold Becker","1928","\N","director,producer,cinematographer","tt0098273,tt0107497,tt0120749,tt0249478"
"893","nm0000894","Jean-Jacques Beineix","1946","2022","assistant_director,producer,director","tt0082269,tt0090563,tt0104473,tt0098226"
"904","nm0000905","Roberto Benigni","1952","\N","actor,writer,director","tt0090967,tt0118799,tt0419198,tt0102164"
"906","nm0000907","Richard Benjamin","1938","\N","actor,director,producer","tt0118954,tt0065636,tt0070909,tt0070291"
"913","nm0000914","Robert Benton","1932","\N","writer,director,producer","tt0078346,tt0087921,tt0079417,tt0061418"
"914","nm0000915","Bruce Beresford","1940","\N","director,producer,writer","tt0080310,tt6684884,tt4196848,tt0097239"
"915","nm0000916","Peter Berg","1964","\N","producer,actor,writer","tt0369339,tt1091191,tt0108724,tt0124198"
"920","nm0000921","Andrew Bergman","1945","\N","writer,director,producer","tt0110167,tt0071230,tt0089155,tt0117765"
"931","nm0000932","Halle Berry","1966","\N","actress,producer,executive","tt0285742,tt0327554,tt0348836,tt0246460"
"933","nm0000934","Bernardo Bertolucci","1941","2018","writer,director,producer","tt0117737,tt0065571,tt0070849,tt0093389"
"939","nm0000940","Bigas Luna","1946","2013","writer,director,producer","tt0104545,tt0129923,tt0078934,tt0090644"
"940","nm0000941","Kathryn Bigelow","1951","\N","director,producer,actress","tt0887912,tt0093605,tt1790885,tt0114558"
"943","nm0000944","Antonia Bird","1951","2013","director,producer","tt0263181,tt0119092,tt0110889,tt0129332"
"947","nm0000948","Shane Black","1961","\N","writer,actor,director","tt1300854,tt0373469,tt3799694,tt0093773"
"951","nm0000952","Hart Bochner","1956","\N","actor,director,writer","tt0078902,tt0095016,tt0106364,tt0088206"
